lw,zww,znw,bez,per1,per2,bvn,vz,kww,vra,hww,wed,brt,bht,aan,oht,voe,wederkerig,ort,restpv,bijw,bwg,nnb
,zinken,blusvliegtuigje,,,,geliefde,,,,,,,negenhonderd,,,,,,,ook,,toegestande
,genieten,zon,,,,prachtig,,,,,,,tachtig,,,,,,,aandachtig,,
,springt,oom,,,,Dik,,,,,,,1985,,,,,,,spontaner,,Na zijn
,verdwaald,vliegtuigje,,,,betere,,,,,,,"1,2",,,,,,,even,,met de
,aait,violiste,,,,Oplettende,,,,,,,twaalfduizend,,,,,,,avonds,,de naderende
,bezoekt,trap,,,,schokkende,,,,,,,honderdduizend,,,,,,,morgens,,
,gezongen,zolderraampje,,,,gratis,,,,,,,1821,,,,,,,intens,,de zoveelste
,ving,reinigingsdienst,,,,fikse,,,,,,,2028,,,,,,,fel,,harde overtreding
,kuste,mijnwerkers,,,,arme,,,,,,,zeventig,,,,,,,uitvoerig,,
,waste,basisschooldocenten,,,,dappere,,,,,,,1584,,,,,,,netjes,,Voor hun
,stopte,windrichting,,,,Jonge,,,,,,,achthonderd,,,,,,,ochtends,,Over het
,knuffelt,fruitbloemen,,,,aftredende,,,,,,,1961,,,,,,,s,,honderden
,gebouwd,voetbalwedstrijd,,,,extra,,,,,,,2008,,,,,,,nauwkeurig,,zelf
,redde,eindexamenkandidaten,,,,jarige,,,,,,,achtenveertig,,,,,,,alvast,,
,viert,Newcastle,,,,oplaadbare,,,,,,,2014,,,,,,,gedetailleerd,,mijn kinderen
,bewondert,Twente,,,,gefortuneerde,,,,,,,2003,,,,,,,behendig,,Als
,genezen,bedrijf,,,,sympathieke,,,,,,,Vierhonderd,,,,,,,illegaal,,te duur
,schilderde,goud,,,,alternatieve,,,,,,,Zeventien,,,,,,,vluchtig,,binnen drie
,volgen,hordeloper,,,,gereserveerde,,,,,,,,,,,,,,onverwacht,,weduwe 
,negeerde,planten,,,,rijke,,,,,,,,,,,,,,unaniem,,scheidrechter
,deed,winnaar,,,,riante,,,,,,,,,,,,,,verkeerd,,Ëén
,ontdekte,roedel,,,,verdwaalde,,,,,,,,,,,,,,net,,Aan zijn
,gered,huiduitslag,,,,onbekende,,,,,,,,,,,,,,minstens,,meervoudig
,won,zeilbootje,,,,angstige,,,,,,,,,,,,,,voorlopig,,ouder
,maakt,personeel,,,,vertrouwelijke,,,,,,,,,,,,,,aanvankelijk,,zoals
,geschreven,fruitbomen,,,,langdurige,,,,,,,,,,,,,,alleen,,waard
,zagen,veerpont,,,,voorwaardelijke,,,,,,,,,,,,,,vooral,,nieuwe klasgenoot
,scoorde,debutant,,,,gelukkige,,,,,,,,,,,,,,persoonlijk,,uw bestellingen
,herkende,winst,,,,biologische,,,,,,,,,,,,,,morgenochtend,,Een moeilijke
,bestormd,volleybalteam,,,,zwakke,,,,,,,,,,,,,,Waarom,,Na haar
,promootte,gebouw,,,,economische,,,,,,,,,,,,,,Wanneer,,een sprookje
,,kleindochter,,,,noodzakelijke,,,,,,,,,,,,,,Hoe,,Elk
,at,trambestuurders,,,,sluwe,,,,,,,,,,,,,,Morgen,,
,verkocht,deuren,,,,directe,,,,,,,,,,,,,,Plotseling,,tienduizenden
,verzorgde,zus,,,,Russische,,,,,,,,,,,,,,Waar,,veel Zwitsers
,sprak,echtpaartje,,,,eerlijk,,,,,,,,,,,,,,Overal,,de 
,vernield,wielrenner,,,,klinkende,,,,,,,,,,,,,,Straks,,die brand
,gekocht,ballerina,,,,uitmuntende,,,,,,,,,,,,,,wanneer,,voor de
,beschermt,vriendin,,,,duidelijke,,,,,,,,,,,,,,Vlak,,van dat
,maakten,buren,,,,duurder,,,,,,,,,,,,,,Gisteren,,
,kreeg,geschiedenisjuf,,,,belangrijke,,,,,,,,,,,,,,cynisch,,
,bedacht,baby,,,,bejaarde,,,,,,,,,,,,,,steeds,,Iemand
,behaalde,jongens,,,,achttiende-eeuwse,,,,,,,,,,,,,,reeds,,ontsnapte 
,veroorzaakten,zilver,,,,uitbundige,,,,,,,,,,,,,,gisteravond,,Tienduizenden
,beschermde,leraren,,,,jong,,,,,,,,,,,,,,Zojuist,,een lange
,gevoerd,vakantiegangers,,,,pittoreske,,,,,,,,,,,,,,Gespannen,,
,vielen,kangoeroe,,,,mooiste,,,,,,,,,,,,,,Verdrietig,,ondanks het
,beroofde,reiziger,,,,opgroeiende,,,,,,,,,,,,,,Al,,ooverlast
,kweken,resultaten,,,,schorre,,,,,,,,,,,,,,Uiteindelijk,,
,beschermen,schade,,,,verkouden,,,,,,,,,,,,,,Misschien,,warme zomer
,beleefden,broer,,,,besmettelijke,,,,,,,,,,,,,,Waarschijnlijk,,
,verzamelen,buurvrouw,,,,straatarme,,,,,,,,,,,,,,Nooit,,
,bekende,roeibootje,,,,slechte,,,,,,,,,,,,,,Soms,,van mijn
,bekeken,Willemijn,,,,juiste,,,,,,,,,,,,,,Vandaag,,allemaal
,bezocht,concert,,,,watervlugge,,,,,,,,,,,,,,Ongeduldig,,voor zijn
,verstoorde,clublied,,,,Spaanse,,,,,,,,,,,,,,Paniekerig,,voorgestelde 
,overhandigd,forel,,,,veroordeelde,,,,,,,,,,,,,,Vanmorgen,,dufde
,verloor,vriendje,,,,Afghaanse,,,,,,,,,,,,,,Behendig,,de Europese
,gewonnen,kindje,,,,trouwe,,,,,,,,,,,,,,Natuurlijk,,
,bestelden,penalty,,,,hongerige,,,,,,,,,,,,,,Vaak,,geïntereseerden
,opende,Ariani,,,,natgeregende,,,,,,,,,,,,,,Maandenlang,,
,verwisselden,dam,,,,kersverse,,,,,,,,,,,,,,Enthousiast,,Over dat
,namen,leven,,,,zwaarbeladen,,,,,,,,,,,,,,Trots,,je rekenmachientje
,bevatte,voetbalvereniging,,,,eigenwijze,,,,,,,,,,,,,,Regelmatig,,onze nieuwe
,besprak,sportvisser,,,,Deense,,,,,,,,,,,,,,Meestal,,roets
,pakten,Ingeborg,,,,Noorse,,,,,,,,,,,,,,Hopelijk,,texel
,erkende,keeper,,,,stille,,,,,,,,,,,,,,Hoezo,,tijfens
,liet,bevers,,,,gestreste,,,,,,,,,,,,,,Voortaan,,
,vallen,strandwacht,,,,toekomstige,,,,,,,,,,,,,,momenteel,,Die vroege
,bracht,koning,,,,eeuwenoude,,,,,,,,,,,,,,jarenlang,,mogen maken
,trekt,uitzicht,,,,Rode,,,,,,,,,,,,,,eigenhandig,,Een dagboek
,taxeerden,vlekken,,,,Amerikaanse,,,,,,,,,,,,,,ergens,,oude fruitbomen
,gegraven,nachtwacht,,,,Latijnse,,,,,,,,,,,,,,Vroeger,,Dat monumentale
,controleren,dieet,,,,hardwerkende,,,,,,,,,,,,,,Stiekem,,de teleurgestelde
,kopen,familie,,,,verloofde,,,,,,,,,,,,,,Langzaam,,metaadetector
,overwonnen,ontdekking,,,,wachtende,,,,,,,,,,,,,,Eindelijk,,zjn
,gooide,vissoort,,,,gezonder,,,,,,,,,,,,,,Hoog,,wielrenner 
,bevat,dierenambulance,,,,gerepareerde,,,,,,,,,,,,,,Zonodig,,stantionschef
,georganiseerd,Elfstedentocht,,,,korte,,,,,,,,,,,,,,Alweer,,overmeesterderde
,aangelegd,frisdrankverkoper,,,,harde,,,,,,,,,,,,,,Helaas,,één miljoen
,geplukt,kinderboek,,,,Stedelijk,,,,,,,,,,,,,,toevallig,,zwaardere pijnstillers
,geblokkeerd,haai,,,,moderne,,,,,,,,,,,,,,werkelijk,,de oorzaak
,vermijden,doelpunt,,,,beroemde,,,,,,,,,,,,,,wellicht,,gewizigde
,verwijderd,Amerika,,,,tropische,,,,,,,,,,,,,,officieel,,onze studieresultaten
,waargenomen,regeringspartij,,,,koninklijke,,,,,,,,,,,,,,bewust,,en ons
,stimuleert,schrijfster,,,,medische,,,,,,,,,,,,,,slechts,,hun nieuwe
,versnelt,abonnees,,,,openstaande,,,,,,,,,,,,,,s,,Ieder
,graven,muisje,,,,nieuwste,,,,,,,,,,,,,,Altijd,,vragen 
,verveel,zonnebrillen,,,,overspannen,,,,,,,,,,,,,,Wanhopig,,gewerk
,zondert,patiënt,,,,zwangere,,,,,,,,,,,,,,Avonds,,Ondaks
,gehaast,leerlingen,,,,zeurende,,,,,,,,,,,,,,Ochtends,,ieders
,verstopt,bijwerkingen,,,,behulpzame,,,,,,,,,,,,,,dus,,een geweldig
,vermomd,bushokje,,,,effectieve,,,,,,,,,,,,,,Kort,,prodcuten
,verslapen,kookboek,,,,achttiende-eeuws,,,,,,,,,,,,,,Jarenlang,,geschrokkken
,misdragen,aanhangers,,,,potentiële,,,,,,,,,,,,,,Binnenkort,,onze docent
,bezeerd,verjaardag,,,,middelbare,,,,,,,,,,,,,,Haastig,,minster
,vergist,parachutist,,,,sterkere,,,,,,,,,,,,,,Vlot,,vooor
,gaf,crème,,,,jongste,,,,,,,,,,,,,,Boos,,gewledige
,schenkt,eeuw,,,,zieke,,,,,,,,,,,,,,vervolgens,,stadwandeling
,levert,topsporters,,,,spannend,,,,,,,,,,,,,,wekelijks,,de fotograaf
,overdragen,advies,,,,klierende,,,,,,,,,,,,,,wereldwijd,,wielrenners 
,nagelaten,wetenschapper,,,,zeldzaam,,,,,,,,,,,,,,braaf,,vliegtuigmaatschappen
,overhandigen,bioloog,,,,geleende,,,,,,,,,,,,,,stellig,,Dit hoestdrankje
,betaald,medewerkers,,,,zijden,,,,,,,,,,,,,,eenvoudig,,winaar
,leende,Angenent,,,,gebroken,,,,,,,,,,,,,,traditioneel,,Dankzij hun
,aanbieden,frisdrankverkoper,,,,schoon,,,,,,,,,,,,,,pas,,Nederlad
,meedelen,Schmidt,,,,onervaren,,,,,,,,,,,,,,prompt,,pijn aan
,vraagt,snorkelaars,,,,andere,,,,,,,,,,,,,,live,,aarbeving
,beloven,"wonderkind,",,,,voldoende,,,,,,,,,,,,,,vliegensvlug,,door een
,raadt,neef,,,,warme,,,,,,,,,,,,,,stierlijk,,gepresenteed
,bewijst,actievoerders,,,,geblesseerde,,,,,,,,,,,,,,hopelijk,,dierenambulce
,leren,jongerenkrant,,,,moeilijke,,,,,,,,,,,,,,continu,,vooorstelling
,vertelt,uitlje,,,,leuke,,,,,,,,,,,,,,zomaar,,met zijn
,sturen,handdoeken,,,,uitgebreid,,,,,,,,,,,,,,standaard,,de surfer
,geven,wond,,,,lekker,,,,,,,,,,,,,,uiterlijk,,overleg met
,leveren,klassenleraar,,,,bronzen,,,,,,,,,,,,,,beslist,,dapperere
,nalaten,medicijnen,,,,hartelijk,,,,,,,,,,,,,,opeens,,zikeenhuis
,overhandigde,vandaal,,,,geslaagde,,,,,,,,,,,,,,plotseling,,aannpassingen
,betaalt,huid,,,,talentvolle,,,,,,,,,,,,,,allerminst,,de helft
,leenden,huis,,,,gevaarlijk,,,,,,,,,,,,,,overigens,,entousiast
,bood,huiswerk,,,,digitale,,,,,,,,,,,,,,furieus,,Frise
,beloofde,hobbelpaard,,,,geschrokken,,,,,,,,,,,,,,overduidelijk,,`het
,overgedragen,oplader,,,,prachtige,,,,,,,,,,,,,,dolgraag,,herstvakantie
,gegeven,oefenzinnen,,,,vegetarisch,,,,,,,,,,,,,,openlijk,,rommelmarkje
,geschonken,lesboek,,,,goedkope,,,,,,,,,,,,,,vaker,,congiërge
,beloofd,menigte,,,,grove,,,,,,,,,,,,,,logischerwijs,,vakantiebestemmin
,gevraagd,grootmeester,,,,eenvoudige,,,,,,,,,,,,,,harder,,dor
,vertelde,bruidegom,,,,verdrietige,,,,,,,,,,,,,,ademloos,,structureel 
,aangeboden,Henk,,,,Gezonde,,,,,,,,,,,,,,eeuwenlang,,bewoonsters
,meegedeeld,M.G.,,,,gele,,,,,,,,,,,,,,uitgebreider,,de gewijzigde
,voorgeschreven,"Balotelli,",,,,vaste,,,,,,,,,,,,,,adequaat,,Egyte
,betalen,uiltje,,,,overvolle,,,,,,,,,,,,,,sneller,,nieuwsjaarsdag
,deelde,marktkoopman,,,,getroffen,,,,,,,,,,,,,,klassikaal,,grappige 
,geleend,verpleger,,,,dagelijkse,,,,,,,,,,,,,,zorgvuldig,,hun handbagage
,schonk,Zonnebrandcrème,,,,Vervalste,,,,,,,,,,,,,,hier,,
,gunde,grootvader,,,,Zelfgemaakte,,,,,,,,,,,,,,redekundig,,
,aangeraden,klas,,,,bevriende,,,,,,,,,,,,,,binnenkort,,
,betaalde,kleutertje,,,,Lichamelijk,,,,,,,,,,,,,,onverwachts,,
,raadde,snoer,,,,bijziende,,,,,,,,,,,,,,onbewust,,
,droeg,docent,,,,vriendelijke,,,,,,,,,,,,,,winters,,
,stuurde,rijbewijs,,,,verouderde,,,,,,,,,,,,,,dringend,,
,mailde,lawine,,,,onwetende,,,,,,,,,,,,,,voortdurend,,
,leerde,dieren,,,,positieve,,,,,,,,,,,,,,duidelijker,,
,verteld,bazin,,,,Oude,,,,,,,,,,,,,,alstublieft,,
,gestuurd,leeuwen,,,,gesmeerde,,,,,,,,,,,,,,desnoods,,
,geleerd,zebra,,,,twijfelende,,,,,,,,,,,,,,precies,,
,ontfutseld,winkels,,,,politieke,,,,,,,,,,,,,,zonodig,,
,gesteld,discussie,,,,Rijpe,,,,,,,,,,,,,,Vannacht,,
,vroegen,elftal,,,,passerende,,,,,,,,,,,,,,Wederom,,
,geef,Rembrandt,,,,goedkoopste,,,,,,,,,,,,,,Gelukkig,,
,vroeg,"Rhijn,",,,,groene,,,,,,,,,,,,,,Vanmiddag,,
,afgeraden,Annie,,,,plaatselijke,,,,,,,,,,,,,,Telefonisch,,
,voogeschreven,Mario,,,,Griekse,,,,,,,,,,,,,,Jaarlijks,,
,geluncht,konijn,,,,culinair,,,,,,,,,,,,,,Momenteel,,
,geoefend,snowboarders,,,,hartige,,,,,,,,,,,,,,Lang,,
,gehuild,wereldnatuutfonds,,,,gedupeerde,,,,,,,,,,,,,,paniekerig,,
,geapplaudisseerd,waakhond,,,,gehandicapte,,,,,,,,,,,,,,Morgens,,
,geschilderd,dochter,,,,Speciaal,,,,,,,,,,,,,,Eigenlijk,,
,gekregen,bende,,,,dikke,,,,,,,,,,,,,,Onbewust,,
,gehaald,aantal,,,,royale,,,,,,,,,,,,,,vriendelijker,,
,beroofd,opmerking,,,,Lagere,,,,,,,,,,,,,,gemakkelijk,,
,getaxeerd,minister-president,,,,efficiënte,,,,,,,,,,,,,,nachtenlang,,
,aangevallen,zakenroller,,,,historische,,,,,,,,,,,,,,Voorlopig,,
,veroorzaakt,portemonnee,,,,lieve,,,,,,,,,,,,,,structureel,,
,ontnamen,Thijs,,,,kritische,,,,,,,,,,,,,,Nachts,,
,stuurden,Nienke,,,,anonieme,,,,,,,,,,,,,,verschrikkelijk,,
,schreef,tomaten,,,,Zuid-Afrikaanse,,,,,,,,,,,,,,voorbeeldig,,
,draagt,Airbags,,,,hoger,,,,,,,,,,,,,,simpelweg,,
,lenen,gordels,,,,halve,,,,,,,,,,,,,,zelfs,,
,verkopen,passagiers,,,,Vervelende,,,,,,,,,,,,,,Vanavond,,
,ontfutselde,auto,,,,ingelijste,,,,,,,,,,,,,,Later,,
,gaven,voetballer,,,,Somber,,,,,,,,,,,,,,Tegenwoordig,,
,Geef,preek,,,,dreinende,,,,,,,,,,,,,,verplicht,,
,Overhandig,scheidsrechter,,,,spiekende,,,,,,,,,,,,,,onafgebroken,,
