Mijn rechterbeen,ond,jeukt,pv,,wwg,,,,,,,,,,,,
De fans van het tieneridool,ond,gillen,pv,,wwg,,,,,,,,,,,,
Deze twee zinnen,ond,rijmen,pv,,wwg,,,,,,,,,,,,
Mijn beide grootouders,ond,hebben,pv,gewerkt,wwg,,,,,,,,,,,,
De werknemers van het ziekenhuis,ond,hebben,pv,geluncht,wwg,,,,,,,,,,,,
De teleurgestelde supporters,ond,balen,pv,,wwg,,,,,,,,,,,,
De jonge vosjes,ond,stoeien,pv,,wwg,,,,,,,,,,,,
De vrouw met het volle winkelmandje,ond,heeft,pv,voorgedrongen,wwg,,,,,,,,,,,,
De conditietrainer,ond,heeft,pv,hardgelopen,wwg,,,,,,,,,,,,
Mijn beste vriend,ond,gaat,pv,skiën,wwg,,,,,,,,,,,,
De boze hond,ond,gromt,pv,,wwg,,,,,,,,,,,,
Het paard van de springruiter,ond,heeft,pv,gegaloppeerd,wwg,,,,,,,,,,,,
Ons mooie kampvuur,ond,is,pv,uitgegaan,wwg,,,,,,,,,,,,
De winst van het bedrijf,ond,is,pv,gedaald,wwg,,,,,,,,,,,,
Ik,ond,heb,pv,geoefend,wwg,,,,,,,,,,,,
Het jonge kalfje,ond,is,pv,verdronken,wwg,,,,,,,,,,,,
De muggen in mijn kamer,ond,zoemen,pv,,wwg,,,,,,,,,,,,
Mijn favoriete band,ond,heeft,pv,opgetreden,wwg,,,,,,,,,,,,
De krant van mijn vader,ond,ritselt,pv,,wwg,,,,,,,,,,,,
De luide muziek,ond,is,pv,gestopt,wwg,,,,,,,,,,,,
Mijn lievelingsbroek,ond,is,pv,versleten,wwg,,,,,,,,,,,,
Het verlegen meisje,ond,heeft,pv,geknutseld,wwg,,,,,,,,,,,,
De vastgevroren zwaan,ond,trilde,pv,,wwg,,,,,,,,,,,,
De tevreden werknemer,ond,heeft,pv,gegrijnsd,wwg,,,,,,,,,,,,
Het baby'tje,ond,glimlacht,pv,,wwg,,,,,,,,,,,,
De ontevreden cafébaas,ond,moppert,pv,,wwg,,,,,,,,,,,,
De motor van onze boot,ond,sputterde,pv,,wwg,,,,,,,,,,,,
De marathonloper,ond,is,pv,gestruikeld,wwg,,,,,,,,,,,,
De vermoeide atleten,ond,moesten,pv,uitrusten,wwg,,,,,,,,,,,,
Het luxe cruiseschip,ond,is,pv,gezonken,wwg,,,,,,,,,,,,
De gigantische vissersboot,ond,is,pv,vastgelopen,wwg,,,,,,,,,,,,
Dat boek,ond,is,pv,uitgeleend,wwg,,,,,,,,,,,,
De dodo,ond,is,pv,uitgestorven,wwg,,,,,,,,,,,,
De planten op de vensterbank,ond,zijn,pv,uitgedroogd,wwg,,,,,,,,,,,,
De buurvrouw van mijn oma,ond,is,pv,overleden,wwg,,,,,,,,,,,,
De winnaar van de gouden medaille,ond,heeft,pv,gejuicht,wwg,,,,,,,,,,,,
De roedel wolven,ond,huilt,pv,,wwg,,,,,,,,,,,,
Mijn broertje en zusje,ond,hebben,pv,gehuild,wwg,,,,,,,,,,,,
De traumahelikopter,ond,is,pv,opgestegen,wwg,,,,,,,,,,,,
Het hypermoderne blusvliegtuigje,ond,is,pv,opgestegen,wwg,,,,,,,,,,,,
De zon,ond,heeft,pv,geschenen,wwg,,,,,,,,,,,,
De geïnteresseerde toeschouwers,ond,hebben,pv,geapplaudisseerd,wwg,,,,,,,,,,,,
Mijn huiduitslag,ond,is,pv,verdwenen,wwg,,,,,,,,,,,,
Het zeilbootje van mijn oom,ond,is,pv,gezonken,wwg,,,,,,,,,,,,
Het papieren vliegtuigje,ond,zweeft,pv,,wwg,,,,,,,,,,,,
De wereldberoemde violiste,ond,heeft,pv,opgetreden,wwg,,,,,,,,,,,,
Onze trap,ond,kraakt,pv,,wwg,,,,,,,,,,,,
Mijn zolderraampje,ond,klemt,pv,,wwg,,,,,,,,,,,,
Het personeel van de reinigingsdienst,ond,heeft,pv,gestaakt,wwg,,,,,,,,,,,,
De verontwaardigde basisschooldocenten,ond,hebben,pv,gedemonstreerd,wwg,,,,,,,,,,,,
De windrichting,ond,is,pv,gedraaid,wwg,,,,,,,,,,,,
De fruitbomen in onze tuin,ond,bloeien,pv,,wwg,,,,,,,,,,,,
De spannende voetbalwedstrijd,ond,is,pv,afgelopen,wwg,,,,,,,,,,,,
Sommige eindexamenkandidaten,ond,hadden,pv,gespiekt,wwg,,,,,,,,,,,,
De veerpont naar Newcastle,ond,is,pv,vertrokken,wwg,,,,,,,,,,,,
De debutant van Barcelona,ond,heeft,pv,gescoord,wwg,,,,,,,,,,,,
De winst van het bedrijf,ond,is,pv,gestegen,wwg,,,,,,,,,,,,
De prijs van goud,ond,is,pv,gestegen,wwg,,,,,,,,,,,,
De hordeloper,ond,is,pv,gestruikeld,wwg,,,,,,,,,,,,
De resultaten van het Braziliaanse volleybalteam ,ond,zijn,pv,tegengevallen,wwg,,,,,,,,,,,,
De schade aan het gebouw,ond,viel,pv,,wwg,mee,restpv,,,,,,,,,,
Onze kleindochter,ond,slaapt,pv,,wwg,,,,,,,,,,,,
De fruitbomen,ond,zijn,pv,gegroeid,wwg,,,,,,,,,,,,
De trambestuurders,ond,staken,pv,,wwg,,,,,,,,,,,,
Mijn kleine neefje,ond,zeurt,pv,,wwg,,,,,,,,,,,,
De deuren van de trein,ond,zijn,pv,gesloten,wwg,,,,,,,,,,,,
De kinderen van mijn zus,ond,willen,pv,stoeien,wwg,,,,,,,,,,,,
De meegereisde supporters,ond,baalden,pv,,wwg,,,,,,,,,,,,
Het oude echtpaartje,ond,wandelt,pv,,wwg,,,,,,,,,,,,
De onvermoeibare wielrenner,ond,fietst,pv,,wwg,,,,,,,,,,,,
De marathonloper,ond,rende,pv,,wwg,,,,,,,,,,,,
De weergaloze ballerina,ond,heeft,pv,gedanst,wwg,,,,,,,,,,,,
De broer van mijn vriendin,ond,heeft,pv,gelogen,wwg,,,,,,,,,,,,
Mijn oudste zus,ond,studeert,pv,,wwg,,,,,,,,,,,,
De kat van de buren,ond,miauwt,pv,,wwg,,,,,,,,,,,,
Mijn oma,ond,heeft,pv,gezwommen,wwg,,,,,,,,,,,,
De geschiedenisjuf,ond,zeurt,pv,,wwg,,,,,,,,,,,,
De pasgeboren baby,ond,huilt,pv,,wwg,,,,,,,,,,,,
De jongens,ond,zullen,pv,spelen,wwg,,,,,,,,,,,,
De prijs van zilver,ond,is,pv,gestegen,wwg,,,,,,,,,,,,
Het vliegtuig,ond,daalt,pv,,wwg,,,,,,,,,,,,
De leraren,ond,hebben,pv,vergaderd,wwg,,,,,,,,,,,,
Het misselijke meisje,ond,heeft,pv,overgegeven,wwg,,,,,,,,,,,,
Het krakkemikkige roeibootje,ond,zal,pv,zinken,wwg,,,,,,,,,,,,
De vakantiegangers,ond,genieten,pv,,wwg,,,,,,,,,,,,
De kangoeroe,ond,springt,pv,,wwg,,,,,,,,,,,,
De reiziger,ond,is,pv,verdwaald,wwg,,,,,,,,,,,,
Ik,ond,heb,pv,gewonnen,wwg,,,,,,,,,,,,
Willemijn,ond,aait,pv,de hond van de buren,lv,,wwg,,,,,,,,,,
Zij,ond,heeft,pv,het concert van haar favoriete band,lv,bezocht,wwg,,,,,,,,,,
De aanhangers van de voetbalvereniging ,ond,hebben,pv,het clublied,lv,gezongen,wwg,,,,,,,,,,
De sportvisser,ond,ving,pv,een schitterende forel,lv,,wwg,,,,,,,,,,
Ingeborg,ond,kuste,pv,haar vriendje,lv,,wwg,,,,,,,,,,
De vermoeide moeder,ond,heeft,pv,het kindje,lv,gevoerd,wwg,,,,,,,,,,
De keeper van het Nederlands elftal,ond,stopte,pv,de penalty,lv,,wwg,,,,,,,,,,
Ariani,ond,knuffelt,pv,haar moeder,lv,,wwg,,,,,,,,,,
De ijverige bevers,ond,hebben,pv,een dam,lv,gebouwd,wwg,,,,,,,,,,
De alerte strandwacht,ond,redde,pv,het leven van het meisje,lv,,wwg,,,,,,,,,,
De uitzinnige menigte,ond,viert,pv,de verjaardag van de koning,lv,,wwg,,,,,,,,,,
De parachutist,ond,bewondert,pv,het geweldige uitzicht,lv,,wwg,,,,,,,,,,
Deze speciale crème,ond,kan,pv,rode vlekken,lv,genezen,wwg,,,,,,,,,,
Rembrandt van Rijn,ond,heeft,pv,De nachtwacht,lv,geschilderd,wwg,,,,,,,,,,
Veel topsporters,ond,volgen,pv,een speciaal dieet,lv,,wwg,,,,,,,,,,
De bruidegom,ond,negeerde,pv,het advies van zijn familie,lv,,wwg,,,,,,,,,,
De wetenschapper,ond,deed,pv,een bijzondere ontdekking,lv,,wwg,,,,,,,,,,
De bioloog,ond,ontdekte,pv,een nieuwe vissoort,lv,,wwg,,,,,,,,,,
De medewerkers van de dierenambulance,ond,hebben,pv,de vastgevroren zwaan,lv,gered,wwg,,,,,,,,,,
Henk Angenent,ond,heeft,pv,de laatste Elfstedentocht,lv,gewonnen,wwg,,,,,,,,,,
De frisdrankverkoper,ond,maakt,pv,een enorme winst,lv,,wwg,,,,,,,,,,
Annie M.G. Schmidt,ond,heeft,pv,mijn favoriete kinderboek,lv,geschreven,wwg,,,,,,,,,,
De twee snorkelaars,ond,zagen,pv,een kleine haai,lv,,wwg,,,,,,,,,,
Mario Balotelli,ond,scoorde,pv,het winnende doelpunt,lv,,wwg,,,,,,,,,,
Ik,ond,herkende,pv,mijn neef uit Amerika,lv,,wwg,,,,,,,,,,
De actievoerders,ond,hebben,pv,het gebouw van de regeringspartij,lv,bestormd,wwg,,,,,,,,,,
De schrijfster,ond,promootte,pv,haar nieuwe boek,lv,,wwg,,,,,,,,,,
De online jongerenkrant,ond,had,pv,twintigduizend abonnees,lv,,wwg,,,,,,,,,,
Het uiltje,ond,at,pv,een muisje,lv,,wwg,,,,,,,,,,
De marktkoopman,ond,verkocht,pv,handdoeken en zonnebrillen,lv,,wwg,,,,,,,,,,
De verpleger,ond,verzorgde,pv,de wond van de patiënt,lv,,wwg,,,,,,,,,,
De klassenleraar,ond,sprak,pv,de vervelende leerlingen,lv,,wwg,toe,restpv,,,,,,,,
Sommige medicijnen,ond,hebben,pv,vervelende bijwerkingen,lv,,wwg,,,,,,,,,,
De vandaal,ond,had,pv,het bushokje,lv,vernield,wwg,,,,,,,,,,
Mijn vader,ond,heeft,pv,een nieuw kookboek,lv,gekocht,wwg,,,,,,,,,,
Hoeveel kinderen,ond,hebben,pv,een eigen laptop,lv,,wwg,,,,,,,,,,
Zonnebrandcrème,ond,beschermt,pv,je huid,lv,,wwg,,,,,,,,,,
Mijn grootvader,ond,heeft,pv,zijn eigen huis,lv,gebouwd,wwg,,,,,,,,,,
De leerlingen uit de tweede klas,ond,maakten,pv,hun huiswerk,lv,,wwg,,,,,,,,,,
Het kleine kleutertje,ond,heeft,pv,een hobbelpaard,lv,gekregen,wwg,,,,,,,,,,
Mijn konijn,ond,heeft,pv,het snoer van mijn oplader,lv,vernield,wwg,,,,,,,,,,
De docent,ond,bedacht,pv,nieuwe oefenzinnen,lv,,wwg,,,,,,,,,,
Het meisje,ond,heeft,pv,haar lesboek,lv,gesloten,wwg,,,,,,,,,,
Mijn zus,ond,heeft,pv,haar rijbewijs,lv,gehaald,wwg,,,,,,,,,,
De onvoorzichtige snowboarders,ond,veroorzaakten,pv,een lawine,lv,,wwg,,,,,,,,,,
Het wereldnatuutfonds,ond,beschermt,pv,bijzondere dieren,lv,,wwg,,,,,,,,,,
De waakhond,ond,beschermde,pv,het huis van zijn bazin,lv,,wwg,,,,,,,,,,
De dochter van mijn zus,ond,heeft,pv,wilde leeuwen,lv,gevoerd,wwg,,,,,,,,,,
De leeuwen,ond,vielen,pv,een jonge zebra,lv,,wwg,aan,restpv,,,,,,,,
De jeugdige bende,ond,heeft,pv,een aantal winkels,lv,beroofd,wwg,,,,,,,,,,
De opmerking van de minister-president,ond,veroorzaakte,pv,een nationale discussie,lv,,wwg,,,,,,,,,,
Een zakenroller,ond,heeft,pv,mijn portemonnee,lv,gestolen,wwg,,,,,,,,,,
Thijs en Nienke,ond,kweken,pv,hun eigen tomaten,lv,,wwg,,,,,,,,,,
Airbags en gordels,ond,beschermen,pv,de bestuurder en passagiers van de auto,lv,,wwg,,,,,,,,,,
De voetballer,ond,negeerde,pv,de preek van de scheidsrechter,lv,,wwg,,,,,,,,,,
Ridder Tiuri en zijn vriend Piak,ond,beleefden,pv,allerlei spannende avonturen,lv,,wwg,,,,,,,,,,
Veel sportliefhebbers,ond,verzamelen,pv,plaatje van bekende voetballers,lv,,wwg,,,,,,,,,,
Drie miljoen Nederlanders,ond,bekeken,pv,de opening van de Olympische Spelen,lv,,wwg,,,,,,,,,,
De drie vrienden,ond,hebben,pv,Boedapest en Bratislava,lv,bezocht,wwg,,,,,,,,,,
De luide muziek,ond,verstoorde,pv,de nachtrust van de campinggasten,lv,,wwg,,,,,,,,,,
De Olympische sporter,ond,kreeg,pv,de zilveren medaille,lv,overhandigd,wwg,,,,,,,,,,
Deze jonge zangeres,ond,heeft,pv,een geweldige stem,lv,,wwg,,,,,,,,,,
De ervaren docent,ond,verloor,pv,zijn geduld,lv,,wwg,,,,,,,,,,
De winnares van de poëziewedstrijd,ond,heeft,pv,een publicatie in de krant,lv,gewonnen,wwg,,,,,,,,,,
De pubers,ond,bestelden,pv,twee pizza's en een hamburger,lv,,wwg,,,,,,,,,,
De barbecue van het Nederlandse echtpaar,ond,veroorzaakte,pv,een zeer grote bosbrand,lv,,wwg,,,,,,,,,,
De fotograaf,ond,opende,pv,de tentoonstelling,lv,,wwg,,,,,,,,,,
De grootouders,ond,verwisselden,pv,de namen van hun kleinkinderen,lv,,wwg,,,,,,,,,,
De omvangrijke encyclopedie,ond,bevatte,pv,"veel grafieken, tabellen en afbeeldingen",lv,,wwg,,,,,,,,,,
De afdelingsleider,ond,besprak,pv,de eindexamenresultaten,lv,,wwg,,,,,,,,,,
De bouwlieden,ond,pakten,pv,het gereedschap,lv,,wwg,,,,,,,,,,
De scholier,ond,erkende,pv,zijn fout,lv,,wwg,,,,,,,,,,
De ober,ond,liet,pv,de borden,lv,vallen,wwg,,,,,,,,,,
De zeewind,ond,bracht,pv,een beetje verkoeling,lv,,wwg,,,,,,,,,,
Alle mensen op het strand,ond,zagen,pv,de spelende dolfijnen,lv,,wwg,,,,,,,,,,
Het strand,ond,trekt,pv,miljoenen bezoekers,lv,,wwg,,,,,,,,,,
Experts van de universiteit,ond,hebben,pv,de waarde van het schilderij,lv,getaxeerd,wwg,,,,,,,,,,
De ontsnapte gevangene,ond,had,pv,een lange tunnel,lv,gegraven,wwg,,,,,,,,,,
De ouders,ond,wilden,pv,het huiswerk,lv,controleren,wwg,,,,,,,,,,
Veel bezoekers van de bloemenmarkt,ond,kopen,pv,tulpen en bloembollen,lv,,wwg,,,,,,,,,,
Het woord bank,ond,heeft,pv,meerdere betekenissen,lv,,wwg,,,,,,,,,,
Mijn jongere zusje,ond,heeft,pv,haar verlegenheid,lv,overwonnen,wwg,,,,,,,,,,
Wie,ond,gooide,pv,de bal,lv,,wwg,,,,,,,,,,
Een bakje yoghurt,ond,bevat,pv,miljarden goede bacteriën,lv,,wwg,,,,,,,,,,
Het getalenterde meisje,ond,behaalde,pv,de hoogste cijfers,lv,,wwg,,,,,,,,,,
De nieuwslezeres,ond,heeft,pv,een fijne stem,lv,,wwg,,,,,,,,,,
De leeuwin,ond,heeft,pv,een jonge zebra,lv,aangevallen,wwg,,,,,,,,,,
De verhuizers,ond,hebben,pv,de dure Chinese vaas,lv,laten vallen,wwg,,,,,,,,,,
De leerlingenraad,ond,had,pv,een geweldig eindfeest,lv,georganiseerd,wwg,,,,,,,,,,
De tuinmannen van hoveniersbedrijf 't Groene Hart,ond,hebben,pv,onze daktuin,lv,aangelegd,wwg,,,,,,,,,,
De medicijnman,ond,had,pv,geneeskrachtige kruiden,lv,geplukt,wwg,,,,,,,,,,
Een gekantelde vrachtwagen,ond,heeft,pv,de snelweg,lv,geblokkeerd,wwg,,,,,,,,,,
Prooidieren,ond,proberen,pv,weides zonder schuilplekken,lv,te vermijden,wwg,,,,,,,,,,
Het ongeluk,ond,had,pv,een lange file,lv,veroorzaakt,wwg,,,,,,,,,,
De arts van het medisch centrum,ond,heeft,pv,mijn gips,lv,verwijderd,wwg,,,,,,,,,,
Sommige mensen,ond,hebben,pv,vliegende schotels,lv,waargenomen,wwg,,,,,,,,,,
Een enthousiaste docent,ond,stimuleert,pv,zijn leerlingen,lv,,wwg,,,,,,,,,,
Rebellen,ond,hebben,pv,het parlementsgebouw,lv,bestormd,wwg,,,,,,,,,,
Een katalysator,ond,versnelt,pv,het chemische proces,lv,,wwg,,,,,,,,,,
De gevangengenomen soldaten,ond,moesten,pv,een kanaal,lv,graven,wwg,,,,,,,,,,
Ik,ond,verveel,pv,me,lv,,wwg,,,,,,,,,,
Hij,ond,zondert,pv,zich,lv,,wwg,af,restpv,,,,,,,,
Ik,ond,heb,pv,me,lv,gehaast,wwg,,,,,,,,,,
De ontsnapte criminelen,ond,schijnen,pv,zich,lv,verstopt te hebben,wwg,,,,,,,,,,
De overvallers,ond,hadden,pv,zich,lv,vermomd,wwg,,,,,,,,,,
De getuige van mijn aanstaande man,ond,heeft,pv,zich,lv,verslapen,wwg,,,,,,,,,,
De omsingelde overvallers,ond,hebben,pv,zich,lv,overgegeven,wwg,,,,,,,,,,
Uw zoon,ond,heeft,pv,zich,lv,misdragen,wwg,,,,,,,,,,
De loodgieter,ond,heeft,pv,zich,lv,bezeerd,wwg,,,,,,,,,,
Ik,ond,heb,pv,me,lv,vergist,wwg,,,,,,,,,,
De coach,ond,gaf,pv,een handtekening,lv,aan de supporters van het succesvolle voetbalteam,mwv,,wwg,,,,,,,,
De acteur,ond,schenkt,pv,zijn salaris,lv,aan een goed doel,mwv,,wwg,,,,,,,,
Deze slager,ond,levert,pv,zijn kwaliteitsproducten,lv,aan de beste restaurants van de stad,mwv,,wwg,,,,,,,,
De oude docent,ond,wil,pv,de kennis van de Nederlandse grammatica,lv,aan de nieuwsgierige leerlingen,mwv,overdragen,wwg,,,,,,,,
Zij,ond,heeft,pv,haar spaargeld,lv,aan haar familie,mwv,nagelaten,wwg,,,,,,,,
De burgemeester,ond,zal,pv,de eresleutel van de stad,lv,aan de oudste inwoner,mwv,overhandigen,wwg,,,,,,,,
De corrupte voorzitter van de voetbalcub,ond,heeft,pv,een groot bedrag,lv,aan de scheidsrechter,mwv,betaald,wwg,,,,,,,,
De marktkoopman,ond,verkocht,pv,de vier antieke stoelen,lv,aan de verzamelaar,mwv,,wwg,,,,,,,,
De ijverige studente,ond,leende,pv,het studieboek,lv,aan haar vergeetachtige vriendin,mwv,,wwg,,,,,,,,
Leerlingen van basisschool Het wespennest,ond,zullen,pv,het geschenk,lv,aan de buitenlandse prins,mwv,aanbieden,wwg,,,,,,,,
De jonge vrouw,ond,wilde,pv,het goede nieuws,lv,aan haar ouders,mwv,meedelen,wwg,,,,,,,,
De gezakte eindexamenkandidaat,ond,vraagt,pv,advies,lv,aan haar mentor,mwv,,wwg,,,,,,,,
De slimme oplichter,ond,heeft,pv,een beter leven,lv,aan zijn slachtoffers,mwv,beloofd,wwg,,,,,,,,
Hij,ond,raadt,pv,dat boek,lv,aan mij,mwv,,wwg,aan,restpv,,,,,,
Een paard,ond,bewijst,pv,zijn trouw,lv,aan zijn verzorger,mwv,,wwg,,,,,,,,
De bekende voetballer van Barcelona,ond,probeerde,pv,een trucje,lv,aan de groep vrienden,mwv,te leren,wwg,,,,,,,,
Niemand,ond,vertelt,pv,zijn geheimen,lv,aan jou,mwv,,wwg,,,,,,,,
Verliefde pubers,ond,sturen,pv,briefjes,lv,aan elkaar,mwv,,wwg,,,,,,,,
Alle trotse ouders,ond,geven,pv,een bosje bloemen,lv,aan de deelnemers van de Avondvierdaagse,mwv,,wwg,,,,,,,,
De organisator van de estafetteloop,ond,schenkt,pv,het opgehaalde bedrag,lv,aan het jeugdcentrum,mwv,,wwg,,,,,,,,
Verschillende grote bedrijven,ond,leveren,pv,de onderdelen van de auto,lv,aan de fabriek,mwv,,wwg,,,,,,,,
Je,ond,kan,pv,sommige aandoeningen,lv,aan jouw geliefde,mwv,overdragen,wwg,,,,,,,,
Sommige mensen,ond,willen,pv,hun erfenis,lv,aan hun huisdieren,mwv,nalaten,wwg,,,,,,,,
De verkoopster met de mooie glimlach,ond,overhandigde,pv,het tasje,lv,aan de klant,mwv,,wwg,,,,,,,,
De jongeman met de sproetjes,ond,betaalt,pv,het bedrag,lv,aan de caissière,mwv,,wwg,,,,,,,,
De bloemist,ond,verkocht,pv,een prachtig stel rozen,lv,aan twee oude dametjes,mwv,,wwg,,,,,,,,
Mijn opa en oma,ond,leenden,pv,de boekenreeks van Dik Trom,lv,aan mijn nichtje,mwv,,wwg,,,,,,,,
De jongen,ond,bood,pv,zijn excuses,lv,aan de directeur,mwv,,wwg,aan,restpv,,,,,,
Ik,ond,moet,pv,dat,lv,aan mijn zus,mwv,vragen,wwg,,,,,,,,
De geschrokken autocoureur,ond,beloofde,pv,betere resultaten,lv,aan zijn sponsors,mwv,,wwg,,,,,,,,
Oplettende burgers,ond,hebben,pv,de zakkenroller,lv,aan de politie,mwv,overgedragen,wwg,,,,,,,,
De eigenaar van het complex,ond,heeft,pv,de sleutel,lv,aan mijn broer,mwv,gegeven,wwg,,,,,,,,
De enthousiaste commentator,ond,heeft,pv,verschillende complimentjes,lv,aan de sporter,mwv,gegeven,wwg,,,,,,,,
Multimiljonair Rupert Murdoch,ond,heeft,pv,een grote som geld,lv,aan het doveninstituut,mwv,geschonken,wwg,,,,,,,,
Onderzoekers,ond,hebben,pv,de schokkende resultaten,lv,aan de politie,mwv,overhandigd,wwg,,,,,,,,
Steven en Maarten,ond,hebben,pv,de boete,lv,aan de politie,mwv,betaald,wwg,,,,,,,,
De directeur van de school,ond,heeft,pv,Ipads,lv,aan de leerlingen,mwv,beloofd,wwg,,,,,,,,
De eigenaar van de souvenirwinkel,ond,heeft,pv,veel prullaria,lv,aan de toeristen,mwv,verkocht,wwg,,,,,,,,
Mijn vriendin,ond,heeft,pv,de rekening,lv,aan hem,mwv,gevraagd,wwg,,,,,,,,
De leraar,ond,vertelde,pv,de geschiedenis van het dorp,lv,aan de klas,mwv,,wwg,,,,,,,,
De cafébaas,ond,heeft,pv,een laatste rondje,lv,aan de gasten,mwv,aangeboden,wwg,,,,,,,,
De werknemer van het telecombedrijf,ond,heeft,pv,zijn vertrek,lv,aan de baas,mwv,meegedeeld,wwg,,,,,,,,
De arts,ond,heeft,pv,veel rust,lv,aan de patiënt,mwv,voorgeschreven,wwg,,,,,,,,
De dierentuin,ond,heeft,pv,de geboorte van het nijlpaardje,lv,aan het publiek,mwv,meegedeeld,wwg,,,,,,,,
Het ministerie van onderwijs,ond,heeft,pv,gratis schoolboeken,lv,aan alle leerlingen van het voortgezet onderwijs,mwv,beloofd,wwg,,,,,,,,
De politie,ond,gaf,pv,een fikse bekeuring,lv,aan de relschoppers,mwv,,wwg,,,,,,,,
De oprichter van Facebook,ond,beloofde,pv,betere privacyregels,lv,aan de gebruikers,mwv,,wwg,,,,,,,,
Sint-Maarten,ond,gaf,pv,de helft van zijn cape,lv,aan een arme man,mwv,,wwg,,,,,,,,
De koning,ond,beloofde,pv,de hand van zijn dochter,lv,aan een dappere ridder,mwv,,wwg,,,,,,,,
De automobiliste,ond,overhandigde,pv,haar rijbewijs,lv,aan de politieman,mwv,,wwg,,,,,,,,
De Jonge Jury,ond,overhandigde,pv,de eerste prijs,lv,aan de populaire schrijfster,mwv,,wwg,,,,,,,,
Het personeel van de verkoopafdeling,ond,heeft,pv,de klacht over het salaris,lv,aan de baas,mwv,meegedeeld,wwg,,,,,,,,
Het meisje,ond,heeft,pv,het balletje,lv,aan haar hond,mwv,gegeven,wwg,,,,,,,,
De voorzitter van de handbalbond,ond,overhandigde,pv,de beker,lv,aan het damesteam,mwv,,wwg,,,,,,,,
De televisiepresentator,ond,heeft,pv,de gouden plaat,lv,aan de zanger,mwv,overhandigd,wwg,,,,,,,,
De caissière,ond,gaf,pv,de kassabon,lv,aan de klant,mwv,,wwg,,,,,,,,
De dader van het geweldsdelict,ond,moest,pv,een schadevergoeding,lv,aan het slachtoffer,mwv,betalen,wwg,,,,,,,,
De aftredende vorstin,ond,heeft,pv,haar kroon,lv,aan haar schoondochter,mwv,overgedragen,wwg,,,,,,,,
De medewerker van het laboratorium,ond,heeft,pv,de resultaten van het onderzoek,lv,aan zijn begeleider,mwv,meegedeeld,wwg,,,,,,,,
Mijn opa en oma,ond,hebben,pv,een sterrenkijker,lv,aan mijn broer,mwv,gegeven,wwg,,,,,,,,
De ambulancebroeder,ond,heeft,pv,extra zuurstof,lv,aan de patënt,mwv,gegeven,wwg,,,,,,,,
De archeoloog,ond,heeft,pv,een bijzondere schedel,lv,aan mijn broer,mwv,verkocht,wwg,,,,,,,,
De boer,ond,moest,pv,een deel van zijn oogst,lv,aan zijn leenheer,mwv,geven,wwg,,,,,,,,
De man,ond,heeft,pv,een nier,lv,aan zijn zus,mwv,gegeven,wwg,,,,,,,,
De ambulancebroeders,ond,hebben,pv,het donorhart,lv,aan de chirurgen,mwv,overhandigd,wwg,,,,,,,,
De jarige tweeling,ond,deelde,pv,plakjes cake,lv,aan de klas,mwv,,wwg,uit,restpv,,,,,,
